,playerShort,birthday,height,weight,position,photoID,rater1,rater2,skintone
100,almog-cohen,01.09.1988,169.0,68.0,Defensive Midfielder,92498.jpg,0.25,0.25,0.25
101,alou-diarra,15.07.1981,190.0,79.0,Defensive Midfielder,108.jpg,1.0,1.0,1.0
102,alphonse-areola,27.02.1993,190.0,88.0,Goalkeeper,170588.jpg,0.5,0.5,0.5
103,alvaro-gonzalez_3,08.01.1990,183.0,76.0,Center Back,183944.jpg,0.25,0.25,0.25
104,alvaro-negredo,20.08.1985,186.0,87.0,Center Forward,46520.jpg,0.0,0.25,0.125
106,alvaro-rubio,18.04.1979,178.0,80.0,Defensive Midfielder,12193.jpg,0.25,0.25,0.25
107,alvaro-vadillo,12.09.1994,180.0,69.0,Left Winger,196434.jpg,0.25,0.5,0.375
108,alvaro_10,27.04.1991,182.0,71.0,Center Forward,171817.jpg,0.0,0.25,0.125
109,alvaro_8,19.05.1991,182.0,80.0,Center Forward,125179.jpg,0.25,0.25,0.25
110,aly-cissokho,15.09.1987,181.0,75.0,Left Fullback,88221.jpg,1.0,1.0,1.0
111,amaya_3,31.05.1983,192.0,86.0,Center Back,125839.jpg,0.25,0.5,0.375
112,amin-younes,06.08.1993,168.0,67.0,Right Midfielder,175365.jpg,0.25,0.25,0.25
113,ammar-jemal,20.04.1987,186.0,81.0,Left Fullback,99096.jpg,0.5,0.75,0.625
114,amorebieta,29.03.1985,192.0,85.0,Center Back,34979.jpg,0.0,0.0,0.0
115,anatoliy-tymoshchuk,30.03.1979,181.0,75.0,Defensive Midfielder,8291.jpg,0.25,0.25,0.25
116,ander-herrera,14.08.1989,182.0,73.0,Attacking Midfielder,135452.jpg,0.0,0.0,0.0
117,anders-lindegaard,13.04.1984,193.0,80.0,Goalkeeper,16528.jpg,0.25,0.25,0.25
118,anderson-conceicao,24.10.1989,188.0,81.0,Center Back,189051.jpg,0.5,0.5,0.5
119,anderson_7,13.04.1988,176.0,69.0,Center Midfielder,38694.jpg,0.75,0.75,0.75
120,andre-ayew,17.12.1989,176.0,72.0,Attacking Midfielder,84913.jpg,0.75,0.75,0.75
121,andre-biyogo-poko,01.01.1993,173.0,75.0,,199853.jpg,0.75,0.75,0.75
122,andre-fomitschow,07.09.1990,180.0,74.0,Left Midfielder,97527.jpg,0.25,0.25,0.25
123,andre-hoffmann_2,28.02.1993,187.0,79.0,Defensive Midfielder,167360.jpg,0.0,0.0,0.0
124,andre-luiz_3,27.01.1980,184.0,76.0,Center Back,35294.jpg,0.75,0.75,0.75
125,andre-pierre-gignac,05.12.1985,186.0,84.0,Center Forward,52334.jpg,0.0,0.25,0.125
126,andre-santos,08.03.1983,180.0,74.0,Left Fullback,52851.jpg,0.5,0.5,0.5
127,andre-santos_2,02.03.1989,178.0,72.0,Center Midfielder,151131.jpg,0.25,0.25,0.25
128,andre-schuerrle,06.11.1990,184.0,74.0,Left Winger,146258.jpg,0.0,0.0,0.0
129,andre-weis,30.09.1989,189.0,86.0,Goalkeeper,134687.jpg,0.25,0.25,0.25
130,andre-wisdom,09.05.1993,186.0,78.0,,174152.jpg,0.75,1.0,0.875
131,andreas-beck,13.03.1987,180.0,70.0,Right Fullback,36499.jpg,0.0,0.0,0.0
132,andreas-ivanschitz,15.10.1983,184.0,82.0,Attacking Midfielder,14366.jpg,0.25,0.25,0.25
133,andreas-lambertz,15.10.1984,172.0,69.0,Defensive Midfielder,23216.jpg,0.25,0.25,0.25
134,andreas-ottl,01.03.1985,185.0,77.0,Defensive Midfielder,13467.jpg,0.0,0.0,0.0
135,andreas-weimann,05.08.1991,179.0,72.0,Center Forward,151539.jpg,0.0,0.0,0.0
136,andres-guardado,28.09.1986,169.0,67.0,Left Midfielder,47979.jpg,0.25,0.0,0.125
137,andres-tunez,15.03.1987,187.0,83.0,Center Back,159745.jpg,0.25,0.25,0.25
139,andrey-arshavin,29.05.1981,172.0,69.0,Center Forward,9096.jpg,0.0,0.0,0.0
140,andrija-delibasic,24.04.1981,188.0,84.0,Center Forward,14227.jpg,0.0,0.0,0.0
141,andriy-voronin,21.07.1979,174.0,81.0,Center Forward,890.jpg,0.0,0.0,0.0
142,andros-townsend,16.07.1991,183.0,76.0,Left Midfielder,142205.jpg,0.25,0.25,0.25
143,andy-carroll,06.01.1989,191.0,76.0,,69795.jpg,0.25,0.25,0.25
145,andy-johnson_2,10.02.1981,170.0,70.0,Center Forward,24539.jpg,0.0,0.0,0.0
148,angel,10.03.1981,180.0,71.0,Right Fullback,12370.jpg,0.25,0.25,0.25
149,angel-di-maria,14.02.1988,180.0,70.0,Left Winger,43864.jpg,0.25,0.25,0.25
150,angel_4,26.04.1987,172.0,68.0,Center Forward,62817.jpg,0.5,0.5,0.5
152,ansotegi,13.07.1982,192.0,84.0,Center Back,43142.jpg,0.25,0.25,0.25
153,anthony-annan,21.07.1986,175.0,64.0,Defensive Midfielder,74022.jpg,1.0,1.0,1.0
154,anthony-le-tallec,03.10.1984,184.0,73.0,Right Winger,11470.jpg,0.25,0.25,0.25
156,anthony-lopes,01.10.1990,184.0,81.0,Goalkeeper,187957.jpg,0.25,0.25,0.25
159,anthony-mounier,27.09.1987,174.0,65.0,Left Midfielder,87796.jpg,0.0,0.0,0.0
161,anthony-reveillere,10.11.1979,180.0,77.0,Right Fullback,8128.jpg,0.25,0.25,0.25
164,antoine-griezmann,21.03.1991,176.0,68.0,Left Winger,153546.jpg,0.25,0.25,0.25
165,antolin-alcaraz,30.07.1982,184.0,78.0,Center Back,29940.jpg,0.0,0.0,0.0
166,anton-ferdinand,18.02.1985,178.0,78.0,Center Back,21813.jpg,0.5,0.25,0.375
167,anton-putsila,10.06.1987,180.0,74.0,Center Midfielder,35398.jpg,0.0,0.25,0.125
168,antonio-lopez_2,13.09.1981,176.0,74.0,Left Fullback,12287.jpg,0.25,0.25,0.25
169,antonio-ruediger,03.03.1993,190.0,85.0,Center Back,174182.jpg,1.0,1.0,1.0
170,antonio-rukavina,26.01.1984,177.0,74.0,Right Fullback,59786.jpg,0.0,0.0,0.0
171,antonio-valencia_2,04.08.1985,175.0,70.0,Right Winger,25587.jpg,0.75,0.75,0.75
172,apono,13.02.1984,173.0,72.0,Defensive Midfielder,94699.jpg,0.0,0.25,0.125
175,aranda,27.07.1980,184.0,82.0,Center Forward,12611.jpg,0.25,0.25,0.25
176,aranzubia,18.09.1979,184.0,80.0,Goalkeeper,12202.jpg,0.0,0.0,0.0
177,arbeloa,17.01.1983,184.0,79.0,Right Fullback,26621.jpg,0.25,0.25,0.25
178,arda-turan,30.01.1987,177.0,76.0,Left Winger,30203.jpg,0.0,0.0,0.0
179,aristide-bance,19.09.1984,190.0,96.0,Center Forward,17310.jpg,0.75,1.0,0.875
180,arizmendi,03.03.1984,189.0,76.0,Center Forward,19573.jpg,0.25,0.25,0.25
181,arjen-robben,23.01.1984,180.0,80.0,Right Winger,3936.jpg,0.25,0.25,0.25
182,armand-traore,08.10.1989,185.0,82.0,Left Fullback,77521.jpg,0.5,0.75,0.625
185,arnold-mvuemba,28.01.1985,172.0,67.0,Defensive Midfielder,19054.jpg,0.75,0.75,0.75
186,arouna-kone,11.11.1983,181.0,81.0,Center Forward,19830.jpg,1.0,1.0,1.0
187,arribas_2,01.05.1989,185.0,77.0,Center Back,158941.jpg,0.25,0.25,0.25
188,arrizabalaga,03.10.1994,186.0,81.0,Goalkeeper,204234.jpg,0.0,0.0,0.0
189,arthur-boka,02.04.1983,166.0,67.0,Left Fullback,22642.jpg,1.0,1.0,1.0
190,artjoms-rudnevs,13.01.1988,183.0,81.0,Right Winger,48426.jpg,0.0,0.0,0.0
191,artur-boruc,20.02.1980,193.0,88.0,Goalkeeper,25561.jpg,0.0,0.25,0.125
192,artur-sobiech,12.06.1990,185.0,81.0,Center Forward,122684.jpg,0.25,0.0,0.125
193,asenjo_2,28.06.1989,189.0,85.0,Goalkeeper,77255.jpg,0.0,0.25,0.125
194,ashkan-dejagah,05.07.1986,181.0,74.0,Left Winger,23229.jpg,0.5,0.5,0.5
195,ashley-cole,20.12.1980,170.0,67.0,Left Fullback,1684.jpg,0.5,0.5,0.5
197,ashley-young,09.07.1985,180.0,65.0,Left Midfielder,52397.jpg,0.75,0.75,0.75
198,asmir-begovic,20.06.1987,198.0,83.0,Goalkeeper,40094.jpg,0.0,0.25,0.125
199,assani-lukimya,25.01.1986,190.0,89.0,Center Back,30332.jpg,1.0,0.75,0.875
200,atsuto-uchida,27.03.1988,176.0,62.0,Right Fullback,45405.jpg,0.0,0.0,0.0
201,augusto-fernandez,10.04.1986,177.0,71.0,Right Midfielder,53677.jpg,0.5,0.5,0.5
202,aurelien-chedjou,20.06.1985,184.0,75.0,Center Back,79201.jpg,0.75,0.75,0.75
203,aurtenetxe,03.01.1992,182.0,82.0,Center Back,158618.jpg,0.0,0.0,0.0
204,axel-bellinghausen,17.05.1983,182.0,76.0,Left Midfielder,23221.jpg,0.0,0.0,0.0
206,aykut-oezer,01.01.1993,189.0,80.0,Goalkeeper,170564.jpg,0.0,0.0,0.0
209,ayoze,25.05.1982,175.0,75.0,Left Fullback,12142.jpg,0.0,0.0,0.0
210,azpilicueta_2,28.08.1989,178.0,70.0,Right Fullback,79198.jpg,0.25,0.25,0.25
211,baba-diawara,05.01.1988,179.0,76.0,Center Forward,98257.jpg,1.0,1.0,1.0
212,bacary-sagna,14.02.1983,176.0,72.0,Right Fullback,23323.jpg,1.0,1.0,1.0
213,baena_4,02.03.1989,181.0,75.0,Defensive Midfielder,155175.jpg,0.25,0.25,0.25
214,bafetimbi-gomis,06.08.1985,184.0,77.0,Center Forward,23337.jpg,1.0,1.0,1.0
215,bakary-kone,27.04.1988,188.0,80.0,,88227.jpg,0.75,1.0,0.875
216,balenziaga,29.02.1988,177.0,70.0,Left Fullback,124975.jpg,0.25,0.25,0.25
217,ballesteros,04.09.1975,188.0,90.0,Center Back,13934.jpg,0.25,0.25,0.25
218,bamba-anderson,10.01.1988,188.0,80.0,Center Back,120305.jpg,0.75,0.75,0.75
219,baptiste-aloe,29.06.1994,184.0,77.0,Center Back,211139.jpg,0.25,0.25,0.25
220,baraja_2,24.08.1980,179.0,79.0,,60666.jpg,0.25,0.25,0.25
221,barel-mouko,05.04.1979,177.0,71.0,Goalkeeper,31628.jpg,1.0,1.0,1.0
222,barkero,27.04.1979,180.0,71.0,Left Midfielder,12731.jpg,0.25,0.25,0.25
223,barragan_3,12.06.1987,187.0,83.0,Right Fullback,35151.jpg,0.0,0.25,0.125
225,bartra,15.01.1991,183.0,70.0,Center Back,148650.jpg,0.0,0.0,0.0
226,bas-dost,31.05.1989,192.0,85.0,Center Forward,92598.jpg,0.25,0.25,0.25
227,bastian-mueller,31.07.1991,185.0,75.0,Defensive Midfielder,169300.jpg,0.0,0.0,0.0
228,bastian-oczipka,12.01.1989,184.0,87.0,Left Fullback,97366.jpg,0.0,0.0,0.0
229,bastian-schweinsteiger,01.08.1984,183.0,79.0,Defensive Midfielder,6070.jpg,0.25,0.25,0.25
230,bebe,12.07.1990,190.0,,,170837.jpg,0.75,0.75,0.75
231,beg-ferati,10.11.1986,188.0,81.0,Center Back,68945.jpg,0.25,0.25,0.25
232,bellvis,24.04.1985,178.0,72.0,Left Midfielder,62524.jpg,0.25,0.25,0.25
233,ben-foster,03.04.1983,188.0,80.0,Goalkeeper,29831.jpg,0.0,0.0,0.0
236,benat,19.02.1987,175.0,72.0,Center Midfielder,52459.jpg,0.25,0.25,0.25
237,benedikt-hoewedes,29.02.1988,187.0,80.0,Center Back,59387.jpg,0.0,0.0,0.0
238,benedikt-roecker,19.11.1989,197.0,90.0,Center Back,149452.jpg,0.0,0.0,0.0
241,benjamin-koehler,04.08.1980,172.0,66.0,Left Midfielder,217.jpg,0.25,0.25,0.25
244,benjamin-nivet,02.01.1977,178.0,75.0,,35263.jpg,0.25,0.25,0.25
246,benjamin-stambouli,13.08.1990,180.0,75.0,Defensive Midfielder,168556.jpg,0.0,0.0,0.0
247,benjamin-uphoff,08.08.1993,190.0,78.0,Goalkeeper,193570.jpg,0.0,0.0,0.0
248,benoit-assou-ekotto,24.03.1984,180.0,69.0,Left Fullback,20607.jpg,0.5,0.5,0.5
249,benoit-cheyrou,03.05.1981,182.0,78.0,Defensive Midfielder,11559.jpg,0.0,0.25,0.125
250,benoit-costil,03.07.1987,186.0,78.0,,24161.jpg,0.25,0.25,0.25
252,benoit-pedretti,12.11.1980,177.0,69.0,Defensive Midfielder,9180.jpg,0.25,0.25,0.25
253,benoit-tremoulinas,28.12.1985,173.0,64.0,Left Fullback,59078.jpg,0.25,0.25,0.25
254,bernard-mendy,20.08.1981,180.0,77.0,Right Fullback,10037.jpg,0.25,0.25,0.25
255,bernd-leno,04.03.1992,190.0,79.0,Goalkeeper,159859.jpg,0.0,0.0,0.0
256,bernd-nehrig,28.09.1986,180.0,79.0,Right Midfielder,36504.jpg,0.0,0.0,0.0
257,bertrand-laquait,13.04.1977,184.0,79.0,,22622.jpg,0.25,0.25,0.25
258,biel-company,16.02.1992,176.0,73.0,,204750.jpg,0.25,0.25,0.25
259,bigas,15.05.1990,180.0,78.0,,198849.jpg,0.25,0.25,0.25
260,billel-omrani,02.06.1993,187.0,70.0,,192456.jpg,0.75,0.75,0.75
262,blaise-matuidi,09.04.1987,175.0,70.0,Defensive Midfielder,35262.jpg,0.75,0.75,0.75
263,bnel-nicoli,07.01.1985,175.0,71.0,Right Midfielder,28065.jpg,0.25,0.25,0.25
264,bo-svensson,04.08.1979,190.0,87.0,Center Back,15894.jpg,0.25,0.25,0.25
265,boaz-myhill,09.11.1982,191.0,92.0,Goalkeeper,30461.jpg,0.25,0.25,0.25
266,bobby-zamora,16.01.1981,186.0,75.0,Center Forward,11923.jpg,0.5,0.5,0.5
267,bocoundji-ca,28.12.1986,172.0,69.0,Defensive Midfielder,29568.jpg,0.75,0.75,0.75
268,bodipo,25.10.1977,181.0,76.0,Center Forward,12629.jpg,0.5,0.25,0.375
269,boris-vukcevic,16.03.1990,182.0,76.0,Attacking Midfielder,120695.jpg,0.25,0.25,0.25
270,borja-gomez,14.05.1988,184.0,77.0,,159757.jpg,0.0,0.0,0.0
271,borja-oubina,17.05.1982,180.0,75.0,Defensive Midfielder,12373.jpg,0.25,0.25,0.25
272,borja_2,14.01.1981,185.0,73.0,Defensive Midfielder,12674.jpg,0.25,0.25,0.25
273,bosingwa,24.08.1982,183.0,75.0,Right Fullback,8089.jpg,0.5,0.5,0.5
274,brad-friedel,18.05.1971,193.0,91.0,Goalkeeper,1294.jpg,0.25,0.25,0.25
275,brad-guzan,09.09.1984,193.0,95.0,Goalkeeper,30505.jpg,0.0,0.0,0.0
276,brad-jones,19.03.1982,193.0,79.0,Goalkeeper,10192.jpg,0.0,0.0,0.0
277,bradden-inman,10.12.1991,176.0,71.0,Attacking Midfielder,127078.jpg,0.25,0.25,0.25
280,brandao,16.06.1980,189.0,78.0,Center Forward,13405.jpg,0.5,0.5,0.5
281,branimir-hrgota,12.01.1993,185.0,74.0,,184068.jpg,0.0,0.0,0.0
282,branislav-ivanovic,22.02.1984,182.0,78.0,Center Back,21890.jpg,0.0,0.0,0.0
283,brayan-angulo,02.11.1989,174.0,71.0,Left Fullback,92033.jpg,0.75,0.75,0.75
284,brede-hangeland,20.06.1981,195.0,85.0,Center Back,10696.jpg,0.0,0.25,0.125
285,brett-holman,27.03.1984,176.0,75.0,Attacking Midfielder,55300.jpg,0.0,0.0,0.0
289,brou-angoua,28.11.1986,178.0,69.0,Center Back,47175.jpg,1.0,1.0,1.0
291,bruno-gama,15.11.1987,175.0,68.0,Right Winger,63863.jpg,0.25,0.25,0.25
293,bruno-soares_2,21.08.1988,194.0,85.0,Center Back,146908.jpg,0.5,0.5,0.5
294,bryan-dabo,18.02.1992,187.0,79.0,,165674.jpg,0.75,0.75,0.75
295,bryan-oviedo,18.02.1990,172.0,70.0,Left Fullback,151875.jpg,0.25,0.25,0.25
296,bryan-rabello,15.05.1994,168.0,65.0,Attacking Midfielder,171760.jpg,0.25,0.5,0.375
297,bryan-ruiz,18.08.1985,186.0,70.0,Right Winger,34927.jpg,0.0,0.25,0.125
298,brynjar-gunnarsson,16.10.1975,186.0,76.0,,8129.jpg,0.25,0.25,0.25
299,bueno,20.03.1988,178.0,64.0,Center Forward,62136.jpg,0.25,0.25,0.25
300,busquets_2,16.07.1988,189.0,73.0,Defensive Midfielder,124973.jpg,0.25,0.25,0.25
301,cacau,27.03.1981,178.0,74.0,Left Winger,478.jpg,0.75,0.75,0.75
302,cala,26.11.1989,187.0,84.0,Center Back,123996.jpg,0.25,0.25,0.25
304,calatayud,21.12.1979,191.0,88.0,Goalkeeper,12408.jpg,0.0,0.0,0.0
307,camacho_9,04.05.1990,182.0,75.0,Defensive Midfielder,102589.jpg,0.0,0.0,0.0
308,camel-meriem,18.10.1979,174.0,70.0,Attacking Midfielder,11748.jpg,0.25,0.25,0.25
309,cameron-jerome,14.08.1986,185.0,85.0,Center Forward,33129.jpg,0.75,0.75,0.75
310,camunas,17.07.1980,175.0,71.0,Left Winger,62516.jpg,0.25,0.25,0.25
311,canales_2,16.02.1991,176.0,65.0,Attacking Midfielder,125104.jpg,0.0,0.0,0.0
312,canas_3,27.05.1987,177.0,71.0,,141737.jpg,0.25,0.25,0.25
313,capdevila,03.02.1978,182.0,79.0,Left Fullback,2644.jpg,0.25,0.25,0.25
314,carl-jenkinson,08.02.1992,185.0,77.0,Right Fullback,172531.jpg,0.0,0.25,0.125
315,carl-medjani,15.05.1985,184.0,84.0,Center Back,13365.jpg,0.5,0.5,0.5
317,carlinhos_13,22.06.1994,179.0,81.0,Right Fullback,213006.jpg,0.5,0.5,0.5
318,carlo-nash,13.09.1973,196.0,89.0,Goalkeeper,12045.jpg,0.5,0.25,0.375
319,carlos-kameni,18.02.1984,184.0,78.0,Goalkeeper,1433.jpg,1.0,1.0,1.0
320,carlos-martinez_2,09.04.1986,189.0,79.0,Right Fullback,94725.jpg,0.0,0.25,0.125
322,carlos-tevez,05.02.1984,171.0,75.0,Left Winger,17450.jpg,0.5,0.5,0.5
323,carlos-vela,01.03.1989,177.0,75.0,Right Winger,60608.jpg,0.5,0.25,0.375
324,carlos-zambrano,10.07.1989,185.0,78.0,Center Back,97225.jpg,0.25,0.25,0.25
325,carlton-cole,12.11.1983,190.0,88.0,Center Forward,10075.jpg,1.0,1.0,1.0
326,casado_3,09.08.1986,173.0,76.0,Left Fullback,94780.jpg,0.25,0.25,0.25
327,castillo_8,29.03.1986,182.0,71.0,Left Fullback,60612.jpg,0.0,0.0,0.0
328,casto,18.06.1982,182.0,78.0,Goalkeeper,24742.jpg,0.25,0.25,0.25
329,cata-diaz,13.03.1979,183.0,72.0,Center Back,14641.jpg,0.5,0.5,0.5
331,cedric-barbosa,06.03.1976,179.0,67.0,,11344.jpg,0.0,0.0,0.0
333,cedric-carrasso,30.12.1981,192.0,87.0,Goalkeeper,11570.jpg,0.25,0.25,0.25
334,cedric-kante,06.07.1979,181.0,77.0,Center Back,12499.jpg,0.5,0.5,0.5
335,cedric-makiadi,23.02.1984,177.0,77.0,Attacking Midfielder,11781.jpg,0.75,0.75,0.75
337,cesc-fabregas,04.05.1987,179.0,75.0,Center Midfielder,23019.jpg,0.25,0.25,0.25
338,chahir-belghazouani,06.10.1986,180.0,68.0,Attacking Midfielder,59944.jpg,0.5,0.5,0.5
339,charles-kabore,09.02.1988,181.0,75.0,Defensive Midfielder,88231.jpg,1.0,1.0,1.0
340,charles-nzogbia,28.05.1986,170.0,70.0,Left Midfielder,25669.jpg,1.0,1.0,1.0
342,charlie-took,25.05.1993,184.0,78.0,,219716.jpg,0.75,0.75,0.75
343,charlison-benschop,21.08.1989,191.0,90.0,Attacking Midfielder,127638.jpg,0.75,0.75,0.75
344,cheick-diabate,25.04.1988,194.0,84.0,Center Forward,38997.jpg,0.75,0.75,0.75
346,cheik-tiote,21.06.1986,180.0,76.0,Defensive Midfielder,40100.jpg,1.0,1.0,1.0
348,cheikh-ndiaye,15.02.1985,191.0,80.0,Goalkeeper,42421.jpg,0.75,0.75,0.75
349,chinedu-ede,05.02.1987,178.0,83.0,Left Winger,36325.jpg,0.5,0.5,0.5
350,chinedu-obasi,01.06.1986,188.0,79.0,Right Winger,32679.jpg,1.0,1.0,1.0
