playerShort,birthday,height,weight,position,photoID,rater1,rater2
adam-pinter,12.06.1988,190.0,76.0,Center Back,88754.jpg,0.0,0.0
adam-smith_3,29.04.1991,173.0,73.0,Right Fullback,150651.jpg,0.0,0.0
adam-szalai,09.12.1987,193.0,87.0,Center Forward,53694.jpg,0.25,0.25
adama-ba,27.08.1993,179.0,68.0,Attacking Midfielder,,,
adan,13.05.1987,190.0,88.0,Goalkeeper,62091.jpg,0.0,0.0
adel-taarabt,24.05.1989,180.0,78.0,Left Midfielder,59376.jpg,0.25,0.25
adil-rami,27.12.1985,190.0,88.0,Center Back,84412.jpg,0.0,0.25
adrian-colunga,17.11.1984,171.0,69.0,Center Forward,94847.jpg,0.25,0.25
adrian-mariappa,03.10.1986,180.0,77.0,Center Back,,,
adrian-mutu,08.01.1979,180.0,74.0,Left Winger,7863.jpg,0.25,0.25
adrian_2,08.01.1988,183.0,73.0,Center Forward,66961.jpg,0.25,0.0
adrian_7,21.05.1983,188.0,82.0,Goalkeeper,198614.jpg,0.25,0.25
adriano_24,26.10.1984,172.0,67.0,Left Midfielder,22963.jpg,0.25,0.25
adrien-rabiot,03.04.1995,188.0,71.0,Defensive Midfielder,215118.jpg,0.0,0.0
adrien-regattin,22.08.1991,166.0,67.0,Right Midfielder,,,
adrien-thomasson,10.12.1993,182.0,75.0,,,,
aduriz,11.02.1981,182.0,78.0,Center Forward,12209.jpg,0.25,0.25
agirretxe,24.02.1987,187.0,77.0,Center Forward,32921.jpg,0.0,0.0
ahmed-kantari,28.06.1985,185.0,78.0,,36844.jpg,0.25,0.25
ahmed-sassi,24.09.1993,179.0,69.0,Attacking Midfielder,193572.jpg,0.5,0.5
aissa-mandi,22.10.1991,186.0,78.0,Center Back,,,
alain-traore_2,31.12.1988,176.0,66.0,Left Midfielder,52412.jpg,1.0,1.0
alaixys-romao,18.01.1984,180.0,74.0,Defensive Midfielder,11729.jpg,0.5,0.5
alan-tate,02.09.1982,186.0,85.0,Center Back,,,
alassane-plea,10.03.1993,180.0,65.0,,200749.jpg,0.75,0.75
albelda,01.09.1977,181.0,77.0,Defensive Midfielder,1395.jpg,0.25,0.25
albert-rafetraniaina,09.09.1996,,,,,,
alberto-botia,27.01.1989,186.0,82.0,Center Back,143593.jpg,0.0,0.25
alberto-perea,19.12.1990,177.0,68.0,,176704.jpg,0.25,0.25
aldo-angoula,04.05.1981,184.0,82.0,,,,
alejandro-alonso,03.03.1982,170.0,68.0,Right Midfielder,36825.jpg,0.25,0.0
alejandro-dominguez_2,10.06.1981,175.0,73.0,Right Winger,19389.jpg,0.25,0.25
alejandro-faurlin,09.08.1986,185.0,79.0,,,,
aleksandar-ignjovski,27.01.1991,175.0,68.0,Defensive Midfielder,139672.jpg,0.25,0.25
aleksandar-kolarov,10.11.1985,187.0,80.0,Left Fullback,47704.jpg,0.0,0.25
aleksandar-stevanovic,16.02.1992,175.0,65.0,,174218.jpg,0.25,0.25
alex-lopez,11.01.1988,174.0,66.0,Center Midfielder,166498.jpg,0.25,0.25
alex-mccarthy,03.12.1989,193.0,80.0,Goalkeeper,,,
alex-nimely-tchuimeni,11.05.1991,180.0,72.0,Center Forward,154590.jpg,0.75,1.0
alex-oxlade-chamberlain,15.08.1993,180.0,70.0,,162425.jpg,0.5,0.5
alex-pearce,09.11.1988,183.0,75.0,,,,
alex-portillo,06.11.1992,180.0,72.0,Left Fullback,,,
alex-rubio,23.07.1993,185.0,77.0,Center Forward,220450.jpg,0.25,0.0
alex-smith_6,31.10.1991,175.0,54.0,,190538.jpg,0.5,0.5
alex-song,09.09.1987,182.0,74.0,Defensive Midfielder,24160.jpg,1.0,1.0
alex_17,15.10.1992,180.0,68.0,Center Midfielder,182060.jpg,0.0,0.0
alex_4,17.06.1982,188.0,92.0,Center Back,21420.jpg,0.5,0.5
alexander-buettner,11.02.1989,174.0,75.0,Left Fullback,109609.jpg,0.25,0.25
alexander-esswein,25.03.1990,183.0,85.0,Left Winger,97857.jpg,0.0,0.25
alexander-hien,03.04.1993,183.0,72.0,Defensive Midfielder,173521.jpg,0.0,0.0
alexander-kacaniklic,13.08.1991,180.0,71.0,Left Midfielder,,,
alexander-madlung,11.07.1982,193.0,92.0,Center Back,4833.jpg,0.0,0.0
alexander-manninger,04.06.1977,188.0,83.0,Goalkeeper,7473.jpg,0.0,0.25
alexander-meier,17.01.1983,196.0,84.0,Attacking Midfielder,2226.jpg,0.0,0.0
alexander-ndoumbou,04.01.1992,174.0,70.0,,159121.jpg,0.25,0.5
alexander-ring,09.04.1991,173.0,72.0,Right Midfielder,169432.jpg,0.0,0.0
alexander-schwolow,02.06.1992,189.0,83.0,Goalkeeper,173576.jpg,0.0,0.25
alexander-tettey,04.04.1986,180.0,68.0,Defensive Midfielder,22356.jpg,1.0,1.0
alexandre-alphonse,17.06.1982,176.0,70.0,Right Winger,40013.jpg,0.5,0.75
alexandre-lacazette,28.05.1991,174.0,73.0,Center Forward,165182.jpg,0.75,0.75
alexey-bosetti,23.04.1993,172.0,65.0,,,,
alexis,04.08.1985,183.0,80.0,Center Back,24778.jpg,0.0,0.0
alexis-sanchez,19.12.1988,170.0,73.0,Right Winger,50628.jpg,0.5,0.25
alexis-thebaux,17.03.1985,185.0,81.0,,,,
alfaro_2,23.11.1986,175.0,73.0,Attacking Midfielder,48545.jpg,0.25,0.25
alhassane-bangoura,30.09.1992,174.0,68.0,Right Midfielder,183429.jpg,1.0,1.0
ali-ahamada,14.07.1990,189.0,83.0,Goalkeeper,,,
ali-al-habsi,30.12.1981,194.0,88.0,Goalkeeper,,,
ali-mmadi,21.04.1990,178.0,71.0,,,,
aliosman-aydin,06.02.1992,178.0,77.0,,174688.jpg,0.0,0.0
allan-nyom,10.05.1988,186.0,81.0,,172194.jpg,0.75,0.75
almog-cohen,01.09.1988,169.0,68.0,Defensive Midfielder,92498.jpg,0.25,0.25
alou-diarra,15.07.1981,190.0,79.0,Defensive Midfielder,108.jpg,1.0,1.0
alphonse-areola,27.02.1993,190.0,88.0,Goalkeeper,170588.jpg,0.5,0.5
alvaro-gonzalez_3,08.01.1990,183.0,76.0,Center Back,183944.jpg,0.25,0.25
alvaro-negredo,20.08.1985,186.0,87.0,Center Forward,46520.jpg,0.0,0.25
alvaro-pena_3,24.10.1991,178.0,70.0,Center Midfielder,,,
alvaro-rubio,18.04.1979,178.0,80.0,Defensive Midfielder,12193.jpg,0.25,0.25
alvaro-vadillo,12.09.1994,180.0,69.0,Left Winger,196434.jpg,0.25,0.5
alvaro_10,27.04.1991,182.0,71.0,Center Forward,171817.jpg,0.0,0.25
alvaro_8,19.05.1991,182.0,80.0,Center Forward,125179.jpg,0.25,0.25
aly-cissokho,15.09.1987,181.0,75.0,Left Fullback,88221.jpg,1.0,1.0
amaya_3,31.05.1983,192.0,86.0,Center Back,125839.jpg,0.25,0.5
amin-younes,06.08.1993,168.0,67.0,Right Midfielder,175365.jpg,0.25,0.25
ammar-jemal,20.04.1987,186.0,81.0,Left Fullback,99096.jpg,0.5,0.75
amorebieta,29.03.1985,192.0,85.0,Center Back,34979.jpg,0.0,0.0
anatoliy-tymoshchuk,30.03.1979,181.0,75.0,Defensive Midfielder,8291.jpg,0.25,0.25
ander-herrera,14.08.1989,182.0,73.0,Attacking Midfielder,135452.jpg,0.0,0.0
anders-lindegaard,13.04.1984,193.0,80.0,Goalkeeper,16528.jpg,0.25,0.25
anderson-conceicao,24.10.1989,188.0,81.0,Center Back,189051.jpg,0.5,0.5
anderson_7,13.04.1988,176.0,69.0,Center Midfielder,38694.jpg,0.75,0.75
andre-ayew,17.12.1989,176.0,72.0,Attacking Midfielder,84913.jpg,0.75,0.75
andre-biyogo-poko,01.01.1993,173.0,75.0,,199853.jpg,0.75,0.75
andre-fomitschow,07.09.1990,180.0,74.0,Left Midfielder,97527.jpg,0.25,0.25
andre-hoffmann_2,28.02.1993,187.0,79.0,Defensive Midfielder,167360.jpg,0.0,0.0
andre-luiz_3,27.01.1980,184.0,76.0,Center Back,35294.jpg,0.75,0.75
andre-pierre-gignac,05.12.1985,186.0,84.0,Center Forward,52334.jpg,0.0,0.25
andre-santos,08.03.1983,180.0,74.0,Left Fullback,52851.jpg,0.5,0.5
andre-santos_2,02.03.1989,178.0,72.0,Center Midfielder,151131.jpg,0.25,0.25
andre-schuerrle,06.11.1990,184.0,74.0,Left Winger,146258.jpg,0.0,0.0
andre-weis,30.09.1989,189.0,86.0,Goalkeeper,134687.jpg,0.25,0.25
andre-wisdom,09.05.1993,186.0,78.0,,174152.jpg,0.75,1.0
andreas-beck,13.03.1987,180.0,70.0,Right Fullback,36499.jpg,0.0,0.0
andreas-ivanschitz,15.10.1983,184.0,82.0,Attacking Midfielder,14366.jpg,0.25,0.25
andreas-lambertz,15.10.1984,172.0,69.0,Defensive Midfielder,23216.jpg,0.25,0.25
andreas-ottl,01.03.1985,185.0,77.0,Defensive Midfielder,13467.jpg,0.0,0.0
andreas-weimann,05.08.1991,179.0,72.0,Center Forward,151539.jpg,0.0,0.0
andres-guardado,28.09.1986,169.0,67.0,Left Midfielder,47979.jpg,0.25,0.0
andres-tunez,15.03.1987,187.0,83.0,Center Back,159745.jpg,0.25,0.25
andrew-surman,20.08.1986,178.0,72.0,Attacking Midfielder,,,
andrey-arshavin,29.05.1981,172.0,69.0,Center Forward,9096.jpg,0.0,0.0
andrija-delibasic,24.04.1981,188.0,84.0,Center Forward,14227.jpg,0.0,0.0
andriy-voronin,21.07.1979,174.0,81.0,Center Forward,890.jpg,0.0,0.0
andros-townsend,16.07.1991,183.0,76.0,Left Midfielder,142205.jpg,0.25,0.25
andy-carroll,06.01.1989,191.0,76.0,,69795.jpg,0.25,0.25
andy-delort,09.10.1991,182.0,82.0,,,,
andy-johnson_2,10.02.1981,170.0,70.0,Center Forward,24539.jpg,0.0,0.0
andy-marshall,14.04.1975,188.0,86.0,Goalkeeper,,,
andy-robinson_2,16.10.1992,,,,,,
angel,10.03.1981,180.0,71.0,Right Fullback,12370.jpg,0.25,0.25
angel-di-maria,14.02.1988,180.0,70.0,Left Winger,43864.jpg,0.25,0.25
angel_4,26.04.1987,172.0,68.0,Center Forward,62817.jpg,0.5,0.5
angelo-henriquez,13.04.1994,176.0,73.0,,,,
ansotegi,13.07.1982,192.0,84.0,Center Back,43142.jpg,0.25,0.25
anthony-annan,21.07.1986,175.0,64.0,Defensive Midfielder,74022.jpg,1.0,1.0
anthony-le-tallec,03.10.1984,184.0,73.0,Right Winger,11470.jpg,0.25,0.25
anthony-lippini,07.11.1988,175.0,68.0,,,,
anthony-lopes,01.10.1990,184.0,81.0,Goalkeeper,187957.jpg,0.25,0.25
anthony-martial,05.12.1995,181.0,76.0,,,,
anthony-modeste_2,14.04.1988,186.0,74.0,Center Forward,,,
anthony-mounier,27.09.1987,174.0,65.0,Left Midfielder,87796.jpg,0.0,0.0
anthony-pilkington,06.06.1988,183.0,76.0,,,,
anthony-reveillere,10.11.1979,180.0,77.0,Right Fullback,8128.jpg,0.25,0.25
anthony-weber,11.06.1987,190.0,82.0,,,,
antoine-devaux,21.02.1985,185.0,72.0,Defensive Midfielder,,,
antoine-griezmann,21.03.1991,176.0,68.0,Left Winger,153546.jpg,0.25,0.25
antolin-alcaraz,30.07.1982,184.0,78.0,Center Back,29940.jpg,0.0,0.0
anton-ferdinand,18.02.1985,178.0,78.0,Center Back,21813.jpg,0.5,0.25
anton-putsila,10.06.1987,180.0,74.0,Center Midfielder,35398.jpg,0.0,0.25
antonio-lopez_2,13.09.1981,176.0,74.0,Left Fullback,12287.jpg,0.25,0.25
antonio-ruediger,03.03.1993,190.0,85.0,Center Back,174182.jpg,1.0,1.0
antonio-rukavina,26.01.1984,177.0,74.0,Right Fullback,59786.jpg,0.0,0.0
antonio-valencia_2,04.08.1985,175.0,70.0,Right Winger,25587.jpg,0.75,0.75
apono,13.02.1984,173.0,72.0,Defensive Midfielder,94699.jpg,0.0,0.25
apostolos-vellios,08.01.1992,191.0,,Center Forward,,,
arana_4,03.12.1984,175.0,72.0,Defensive Midfielder,,,
aranda,27.07.1980,184.0,82.0,Center Forward,12611.jpg,0.25,0.25
aranzubia,18.09.1979,184.0,80.0,Goalkeeper,12202.jpg,0.0,0.0
arbeloa,17.01.1983,184.0,79.0,Right Fullback,26621.jpg,0.25,0.25
arda-turan,30.01.1987,177.0,76.0,Left Winger,30203.jpg,0.0,0.0
aristide-bance,19.09.1984,190.0,96.0,Center Forward,17310.jpg,0.75,1.0
arizmendi,03.03.1984,189.0,76.0,Center Forward,19573.jpg,0.25,0.25
arjen-robben,23.01.1984,180.0,80.0,Right Winger,3936.jpg,0.25,0.25
armand-traore,08.10.1989,185.0,82.0,Left Fullback,77521.jpg,0.5,0.75
arnaud-le-lan,22.03.1978,171.0,60.0,Left Fullback,,,
arnaud-maire,06.03.1979,181.0,74.0,,,,
arnold-mvuemba,28.01.1985,172.0,67.0,Defensive Midfielder,19054.jpg,0.75,0.75
arouna-kone,11.11.1983,181.0,81.0,Center Forward,19830.jpg,1.0,1.0
arribas_2,01.05.1989,185.0,77.0,Center Back,158941.jpg,0.25,0.25
arrizabalaga,03.10.1994,186.0,81.0,Goalkeeper,204234.jpg,0.0,0.0
arthur-boka,02.04.1983,166.0,67.0,Left Fullback,22642.jpg,1.0,1.0
artjoms-rudnevs,13.01.1988,183.0,81.0,Right Winger,48426.jpg,0.0,0.0
artur-boruc,20.02.1980,193.0,88.0,Goalkeeper,25561.jpg,0.0,0.25
artur-sobiech,12.06.1990,185.0,81.0,Center Forward,122684.jpg,0.25,0.0
asenjo_2,28.06.1989,189.0,85.0,Goalkeeper,77255.jpg,0.0,0.25
ashkan-dejagah,05.07.1986,181.0,74.0,Left Winger,23229.jpg,0.5,0.5
ashley-cole,20.12.1980,170.0,67.0,Left Fullback,1684.jpg,0.5,0.5
ashley-westwood_2,01.04.1990,175.0,67.0,,,,
ashley-young,09.07.1985,180.0,65.0,Left Midfielder,52397.jpg,0.75,0.75
asmir-begovic,20.06.1987,198.0,83.0,Goalkeeper,40094.jpg,0.0,0.25
assani-lukimya,25.01.1986,190.0,89.0,Center Back,30332.jpg,1.0,0.75
atsuto-uchida,27.03.1988,176.0,62.0,Right Fullback,45405.jpg,0.0,0.0
augusto-fernandez,10.04.1986,177.0,71.0,Right Midfielder,53677.jpg,0.5,0.5
aurelien-chedjou,20.06.1985,184.0,75.0,Center Back,79201.jpg,0.75,0.75
aurtenetxe,03.01.1992,182.0,82.0,Center Back,158618.jpg,0.0,0.0
axel-bellinghausen,17.05.1983,182.0,76.0,Left Midfielder,23221.jpg,0.0,0.0
axel-ngando,13.07.1993,177.0,67.0,Attacking Midfielder,,,
aykut-oezer,01.01.1993,189.0,80.0,Goalkeeper,170564.jpg,0.0,0.0
aymen-abdennour,06.08.1989,188.0,84.0,Left Fullback,,,
aymeric-laporte,27.05.1994,189.0,85.0,Center Back,,,
ayoze,25.05.1982,175.0,75.0,Left Fullback,12142.jpg,0.0,0.0
azpilicueta_2,28.08.1989,178.0,70.0,Right Fullback,79198.jpg,0.25,0.25
baba-diawara,05.01.1988,179.0,76.0,Center Forward,98257.jpg,1.0,1.0
bacary-sagna,14.02.1983,176.0,72.0,Right Fullback,23323.jpg,1.0,1.0
baena_4,02.03.1989,181.0,75.0,Defensive Midfielder,155175.jpg,0.25,0.25
bafetimbi-gomis,06.08.1985,184.0,77.0,Center Forward,23337.jpg,1.0,1.0
bakary-kone,27.04.1988,188.0,80.0,,88227.jpg,0.75,1.0
balenziaga,29.02.1988,177.0,70.0,Left Fullback,124975.jpg,0.25,0.25
ballesteros,04.09.1975,188.0,90.0,Center Back,13934.jpg,0.25,0.25
bamba-anderson,10.01.1988,188.0,80.0,Center Back,120305.jpg,0.75,0.75
baptiste-aloe,29.06.1994,184.0,77.0,Center Back,211139.jpg,0.25,0.25
baraja_2,24.08.1980,179.0,79.0,,60666.jpg,0.25,0.25
barel-mouko,05.04.1979,177.0,71.0,Goalkeeper,31628.jpg,1.0,1.0
barkero,27.04.1979,180.0,71.0,Left Midfielder,12731.jpg,0.25,0.25
barragan_3,12.06.1987,187.0,83.0,Right Fullback,35151.jpg,0.0,0.25
barry-bannan,01.12.1989,170.0,62.0,,,,
bartra,15.01.1991,183.0,70.0,Center Back,148650.jpg,0.0,0.0
bas-dost,31.05.1989,192.0,85.0,Center Forward,92598.jpg,0.25,0.25
bastian-mueller,31.07.1991,185.0,75.0,Defensive Midfielder,169300.jpg,0.0,0.0
bastian-oczipka,12.01.1989,184.0,87.0,Left Fullback,97366.jpg,0.0,0.0
bastian-schweinsteiger,01.08.1984,183.0,79.0,Defensive Midfielder,6070.jpg,0.25,0.25
bebe,12.07.1990,190.0,,,170837.jpg,0.75,0.75
beg-ferati,10.11.1986,188.0,81.0,Center Back,68945.jpg,0.25,0.25
bellvis,24.04.1985,178.0,72.0,Left Midfielder,62524.jpg,0.25,0.25
ben-foster,03.04.1983,188.0,80.0,Goalkeeper,29831.jpg,0.0,0.0
ben-reeves,19.11.1991,178.0,,,,,
ben-watson,09.07.1985,178.0,68.0,Center Midfielder,,,
benat,19.02.1987,175.0,72.0,Center Midfielder,52459.jpg,0.25,0.25
benedikt-hoewedes,29.02.1988,187.0,80.0,Center Back,59387.jpg,0.0,0.0
benedikt-roecker,19.11.1989,197.0,90.0,Center Back,149452.jpg,0.0,0.0
benjamin-andre,03.08.1990,177.0,68.0,,,,
benjamin-corgnet,06.04.1987,180.0,75.0,,,,
benjamin-koehler,04.08.1980,172.0,66.0,Left Midfielder,217.jpg,0.25,0.25
benjamin-lecomte,26.04.1991,186.0,78.0,,,,
benjamin-moukandjo,12.11.1988,179.0,74.0,,,,
benjamin-nivet,02.01.1977,178.0,75.0,,35263.jpg,0.25,0.25
benjamin-psaume,12.01.1985,172.0,72.0,,,,
benjamin-stambouli,13.08.1990,180.0,75.0,Defensive Midfielder,168556.jpg,0.0,0.0
benjamin-uphoff,08.08.1993,190.0,78.0,Goalkeeper,193570.jpg,0.0,0.0
benoit-assou-ekotto,24.03.1984,180.0,69.0,Left Fullback,20607.jpg,0.5,0.5
benoit-cheyrou,03.05.1981,182.0,78.0,Defensive Midfielder,11559.jpg,0.0,0.25
benoit-costil,03.07.1987,186.0,78.0,,24161.jpg,0.25,0.25
benoit-lesoimier,21.02.1983,171.0,60.0,,,,
benoit-pedretti,12.11.1980,177.0,69.0,Defensive Midfielder,9180.jpg,0.25,0.25
benoit-tremoulinas,28.12.1985,173.0,64.0,Left Fullback,59078.jpg,0.25,0.25
bernard-mendy,20.08.1981,180.0,77.0,Right Fullback,10037.jpg,0.25,0.25
bernd-leno,04.03.1992,190.0,79.0,Goalkeeper,159859.jpg,0.0,0.0
bernd-nehrig,28.09.1986,180.0,79.0,Right Midfielder,36504.jpg,0.0,0.0
bertrand-laquait,13.04.1977,184.0,79.0,,22622.jpg,0.25,0.25
biel-company,16.02.1992,176.0,73.0,,204750.jpg,0.25,0.25
bigas,15.05.1990,180.0,78.0,,198849.jpg,0.25,0.25
billel-omrani,02.06.1993,187.0,70.0,,192456.jpg,0.75,0.75
billy-jones,24.03.1987,180.0,83.0,Left Fullback,,,
blaise-matuidi,09.04.1987,175.0,70.0,Defensive Midfielder,35262.jpg,0.75,0.75
bnel-nicoli,07.01.1985,175.0,71.0,Right Midfielder,28065.jpg,0.25,0.25
bo-svensson,04.08.1979,190.0,87.0,Center Back,15894.jpg,0.25,0.25
boaz-myhill,09.11.1982,191.0,92.0,Goalkeeper,30461.jpg,0.25,0.25
bobby-zamora,16.01.1981,186.0,75.0,Center Forward,11923.jpg,0.5,0.5
bocoundji-ca,28.12.1986,172.0,69.0,Defensive Midfielder,29568.jpg,0.75,0.75
bodipo,25.10.1977,181.0,76.0,Center Forward,12629.jpg,0.5,0.25
boris-vukcevic,16.03.1990,182.0,76.0,Attacking Midfielder,120695.jpg,0.25,0.25
borja-gomez,14.05.1988,184.0,77.0,,159757.jpg,0.0,0.0
borja-oubina,17.05.1982,180.0,75.0,Defensive Midfielder,12373.jpg,0.25,0.25
borja_2,14.01.1981,185.0,73.0,Defensive Midfielder,12674.jpg,0.25,0.25
bosingwa,24.08.1982,183.0,75.0,Right Fullback,8089.jpg,0.5,0.5
brad-friedel,18.05.1971,193.0,91.0,Goalkeeper,1294.jpg,0.25,0.25
brad-guzan,09.09.1984,193.0,95.0,Goalkeeper,30505.jpg,0.0,0.0
brad-jones,19.03.1982,193.0,79.0,Goalkeeper,10192.jpg,0.0,0.0
bradden-inman,10.12.1991,176.0,71.0,Attacking Midfielder,127078.jpg,0.25,0.25
bradley-johnson,28.04.1987,178.0,69.0,,,,
brahim-ferradj,04.09.1987,172.0,74.0,,,,
brandao,16.06.1980,189.0,78.0,Center Forward,13405.jpg,0.5,0.5
branimir-hrgota,12.01.1993,185.0,74.0,,184068.jpg,0.0,0.0
branislav-ivanovic,22.02.1984,182.0,78.0,Center Back,21890.jpg,0.0,0.0
brayan-angulo,02.11.1989,174.0,71.0,Left Fullback,92033.jpg,0.75,0.75
brede-hangeland,20.06.1981,195.0,85.0,Center Back,10696.jpg,0.0,0.25
brett-holman,27.03.1984,176.0,75.0,Attacking Midfielder,55300.jpg,0.0,0.0
brett-williams,01.12.1987,188.0,,Center Forward,,,
brian-murphy,07.05.1983,183.0,83.0,Goalkeeper,,,
brice-dja-djedje,23.12.1990,176.0,,,,,
brou-angoua,28.11.1986,178.0,69.0,Center Back,47175.jpg,1.0,1.0
bruno-ecuele,16.07.1988,186.0,76.0,,,,
bruno-gama,15.11.1987,175.0,68.0,Right Winger,63863.jpg,0.25,0.25
bruno-grougi,26.04.1983,171.0,66.0,,,,
bruno-soares_2,21.08.1988,194.0,85.0,Center Back,146908.jpg,0.5,0.5
bryan-dabo,18.02.1992,187.0,79.0,,165674.jpg,0.75,0.75
bryan-oviedo,18.02.1990,172.0,70.0,Left Fullback,151875.jpg,0.25,0.25
bryan-rabello,15.05.1994,168.0,65.0,Attacking Midfielder,171760.jpg,0.25,0.5
bryan-ruiz,18.08.1985,186.0,70.0,Right Winger,34927.jpg,0.0,0.25
brynjar-gunnarsson,16.10.1975,186.0,76.0,,8129.jpg,0.25,0.25
bueno,20.03.1988,178.0,64.0,Center Forward,62136.jpg,0.25,0.25
busquets_2,16.07.1988,189.0,73.0,Defensive Midfielder,124973.jpg,0.25,0.25
cacau,27.03.1981,178.0,74.0,Left Winger,478.jpg,0.75,0.75
cala,26.11.1989,187.0,84.0,Center Back,123996.jpg,0.25,0.25
cala_2,02.03.1990,172.0,65.0,Attacking Midfielder,,,
calatayud,21.12.1979,191.0,88.0,Goalkeeper,12408.jpg,0.0,0.0
callum-mcmanaman,25.04.1991,175.0,71.0,Center Forward,,,
calum-chambers,20.01.1995,182.0,66.0,,,,
camacho_9,04.05.1990,182.0,75.0,Defensive Midfielder,102589.jpg,0.0,0.0
camel-meriem,18.10.1979,174.0,70.0,Attacking Midfielder,11748.jpg,0.25,0.25
cameron-jerome,14.08.1986,185.0,85.0,Center Forward,33129.jpg,0.75,0.75
camunas,17.07.1980,175.0,71.0,Left Winger,62516.jpg,0.25,0.25
canales_2,16.02.1991,176.0,65.0,Attacking Midfielder,125104.jpg,0.0,0.0
canas_3,27.05.1987,177.0,71.0,,141737.jpg,0.25,0.25
capdevila,03.02.1978,182.0,79.0,Left Fullback,2644.jpg,0.25,0.25
carl-jenkinson,08.02.1992,185.0,77.0,Right Fullback,172531.jpg,0.0,0.25
carl-medjani,15.05.1985,184.0,84.0,Center Back,13365.jpg,0.5,0.5
carlao,19.01.1986,182.0,73.0,Defensive Midfielder,,,
carlinhos_13,22.06.1994,179.0,81.0,Right Fullback,213006.jpg,0.5,0.5
carlo-nash,13.09.1973,196.0,89.0,Goalkeeper,12045.jpg,0.5,0.25
carlos-kameni,18.02.1984,184.0,78.0,Goalkeeper,1433.jpg,1.0,1.0
carlos-martinez_2,09.04.1986,189.0,79.0,Right Fullback,94725.jpg,0.0,0.25
carlos-sanchez_2,06.02.1986,182.0,80.0,Defensive Midfielder,,,
carlos-tevez,05.02.1984,171.0,75.0,Left Winger,17450.jpg,0.5,0.5
carlos-vela,01.03.1989,177.0,75.0,Right Winger,60608.jpg,0.5,0.25
carlos-zambrano,10.07.1989,185.0,78.0,Center Back,97225.jpg,0.25,0.25
carlton-cole,12.11.1983,190.0,88.0,Center Forward,10075.jpg,1.0,1.0
casado_3,09.08.1986,173.0,76.0,Left Fullback,94780.jpg,0.25,0.25
castillo_8,29.03.1986,182.0,71.0,Left Fullback,60612.jpg,0.0,0.0
casto,18.06.1982,182.0,78.0,Goalkeeper,24742.jpg,0.25,0.25
cata-diaz,13.03.1979,183.0,72.0,Center Back,14641.jpg,0.5,0.5
cedric-bakambu,11.04.1991,180.0,70.0,Center Forward,,,
cedric-barbosa,06.03.1976,179.0,67.0,,11344.jpg,0.0,0.0
cedric-cambon,20.09.1986,184.0,76.0,,,,
cedric-carrasso,30.12.1981,192.0,87.0,Goalkeeper,11570.jpg,0.25,0.25
cedric-kante,06.07.1979,181.0,77.0,Center Back,12499.jpg,0.5,0.5
cedric-makiadi,23.02.1984,177.0,77.0,Attacking Midfielder,11781.jpg,0.75,0.75
cedric-mongongu,22.06.1989,189.0,78.0,Center Back,,,
